cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_1285,Neratinib (maleate),EGFR/ERBB inhibitor,16,2.1467364659923067,0.05943559782352337,78,3.7430083744214047,0.5735323705558499,Thymol,2.9947686781522096,0.8000967079362044,0.4666666666666667
CVCL_1285,Norepinephrine (hydrochloride),Adrenoceptor agonist,17,2.100390261452339,0.07637562603330916,155,3.6208531791195937,0.5800815878325799,Thymol,2.894421154871085,0.7993754542609928,0.6
CVCL_1285,Olanzapine,unclear,8,2.9971241761098315,0.09018802493031974,173,5.259319479423958,0.5698691984458225,Thymol,4.032994353432836,0.7668281741033465,0.14285714285714285
CVCL_1285,Omeprazole,unclear,19,1.9172528456454137,0.059141701128574864,83,3.4895266330230688,0.5494306383855988,Thymol,2.7572636252752707,0.7901540567657398,0.7238095238095238
CVCL_1285,PF-06260933,Other MAPK inhibitor,64,1.3195556969726354,0.024330190963077092,44,1.8452099039162606,0.7151249807255097,Thymol,1.8921094563837992,1.0254169199764207,0.9904761904761905
CVCL_1285,Pasireotide (acetate),unclear,21,1.926485934242332,0.056974472087371164,75,2.981611697192673,0.6461223425089889,Thymol,2.422835454075821,0.8125925506520632,0.9428571428571428
CVCL_1285,Pentagastrin,unclear,8,3.1224057327005084,0.09472222182278656,172,5.151908192442687,0.6060678133357952,Docetaxel,3.9226024027914606,0.7613882577615629,0.37142857142857144
CVCL_1285,Pentamidine (isethionate),unclear,29,1.8245621233437943,0.05803866452215867,104,2.780332585782769,0.6562388013123657,Thymol,2.4404888973766927,0.8777686920824268,0.9238095238095239
CVCL_1285,Proglumide,unclear,17,2.0059665987051525,0.062942331871355,106,3.696739461477854,0.5426313159497647,Thymol,2.7202538097977573,0.735852184917104,0.7047619047619048
CVCL_1285,Pyridoxine,unclear,10,2.6610914276152333,0.11679325746205149,219,4.364618925293414,0.6096961666444545,Thymol,3.4755337093152874,0.7962971725146983,0.47619047619047616
CVCL_1285,RMC-6236,RAS inhibitor,10,2.6610321913647197,0.09247594997573017,139,4.574570302037873,0.5817010157608217,Docetaxel,3.5534775645137313,0.7767893659718669,0.3904761904761905
CVCL_1285,Radotinib,Other TK inhibitor,10,2.557085769027685,0.11570327715961115,200,4.649310751785831,0.549992440932345,Thymol,3.6962925004424703,0.7950194550929297,0.2
CVCL_1285,Raltitrexed,DNA synthesis/repair inhibitor,18,2.034449587972532,0.06417294541325358,93,3.474537742881439,0.5855310083019447,Thymol,2.6708715247834065,0.768698377289305,0.7238095238095238
CVCL_1285,Rapamycin,MTOR inhibitor,12,2.335154126847569,0.08332036325614356,156,3.9409108371367885,0.5925417304148249,Thymol,3.1098879552669834,0.7891292352928307,0.6095238095238096
CVCL_1285,Resveratrol,unclear,27,1.6801010135516423,0.04903196928358977,82,2.9138005163709755,0.5766012477903403,Thymol,2.245127962399165,0.7705153286180977,0.8857142857142857
CVCL_1285,Retinoic acid,Retinoic receptor agonist,16,2.2648475426882255,0.09099018161867634,184,3.490596919843448,0.6488424744240602,Thymol,3.081068595407835,0.8826767072108743,0.7523809523809524
CVCL_1285,Riluzole hydrochloride,unclear,12,2.206985585073473,0.07655967920743545,157,4.159403231382357,0.5306014979317099,Thymol,2.986199375060474,0.7179393795075802,0.4666666666666667
CVCL_1285,Ritonavir,unclear,18,1.9649800289796464,0.06640748048124556,125,3.5437512293390574,0.5544915265810386,Thymol,2.7379280678996536,0.7726072996411497,0.6666666666666666
CVCL_1285,S-Adenosyl-L-methionine (disulfate tosylate),unclear,26,1.8490837706587901,0.05980141121877525,114,2.7508187171983143,0.6721939759600248,Thymol,2.3726472453817276,0.8625240298634614,0.9809523809523809
CVCL_1285,Salicylic acid,Cyclooxygenase inhibitor,11,2.4406708715483956,0.08632900185648396,163,4.467568929931388,0.5463084979386942,Thymol,3.5761409434605174,0.8004668757322204,0.20952380952380953
CVCL_1285,Selinexor,unclear,15,2.380336961175442,0.09035170769406531,118,3.8108899645787933,0.6246144557570646,Thymol,3.192414505706114,0.8377083923647117,0.580952380952381
CVCL_1285,Sinomenine,unclear,14,2.416144271695712,0.0630557735129399,99,3.740916355273387,0.6458696325272795,Docetaxel,3.0469776291534436,0.8145003362233074,0.7428571428571429
CVCL_1285,Sivelestat (sodium tetrahydrate),unclear,11,2.7428586253030938,0.09579513521195171,132,4.734555862380239,0.5793275451869219,Docetaxel,3.694590688047305,0.7803457801403775,0.21904761904761905
CVCL_1285,Sodium Salicylate,Cyclooxygenase inhibitor,18,1.9326793660933288,0.06385125589853802,113,3.428226858559879,0.5637548055688485,Thymol,2.7654154937401803,0.8066605880632617,0.7714285714285715
CVCL_1285,Sulfisoxazole,unclear,27,1.7435570792133261,0.04748764139479633,67,2.9044964469031025,0.6002958210096558,Thymol,2.3053004537264776,0.7937005590709146,0.9333333333333333
CVCL_1285,TAK-901,unclear,17,2.1346218664756207,0.06667148088032238,101,3.6486749216448886,0.585040298825332,Docetaxel,2.903421922220438,0.7957469450064143,0.7333333333333333
CVCL_1285,Temsirolimus,MTOR inhibitor,11,2.3286559981805453,0.0888998155699634,215,4.244627905305002,0.5486125168404408,Thymol,3.485560787432193,0.8211699270684917,0.29523809523809524
CVCL_1285,Terfenadine,unclear,15,2.1906345761073553,0.08423388572270363,155,3.7605846660965283,0.5825249982687466,Thymol,2.997436533498722,0.7970666265067897,0.5238095238095238
CVCL_1285,Tetracycline (hydrochloride),unclear,11,2.575288306330337,0.10249503665798243,137,4.561305787413274,0.5645945319949243,Docetaxel,3.7749587124080235,0.8276048325514282,0.18095238095238095
CVCL_1285,Thymol,unclear,81,1.2287694897708332,0.02452150006384779,45,1.5959775991570317,0.7699165015974212,Docetaxel,1.84427005771553,1.1555738994642795,1.0
CVCL_1285,Tofacitinib (citrate),JAK/STAT inhibitor,21,1.820749450841711,0.056230130901952724,99,3.4574708706152,0.5266130992790515,Thymol,2.707952113841959,0.7832176221227638,0.6095238095238096
CVCL_1285,Tolcapone,unclear,13,2.3968824791997236,0.08111274597147144,107,4.071511121873369,0.5886960412125507,Docetaxel,3.2863973005226836,0.8071689360903817,0.5047619047619047
CVCL_1285,Triclosan,unclear,30,1.865600542040233,0.06067314597774076,93,2.6465229788525213,0.7049251251349874,Thymol,2.3129053907725585,0.8739411708321487,0.9809523809523809
CVCL_1285,Trifluridine,DNA synthesis/repair inhibitor,23,1.7879194871258262,0.054243850308301256,82,3.0723942404992415,0.5819303602246378,Thymol,2.523406239768966,0.821315899667528,0.8285714285714286
CVCL_1285,Tucidinostat,HDAC inhibitor,15,2.313143254685513,0.09169209463207273,146,4.166828960601695,0.5551327584013653,Thymol,3.223618788775944,0.7736383756703203,0.42857142857142855
CVCL_1285,Valdecoxib,Cyclooxygenase inhibitor,11,2.3876897297692747,0.07414426359533843,163,4.564679846218859,0.5230793418616447,Thymol,3.5705395545195446,0.782210291807692,0.13333333333333333
CVCL_1285,Vemurafenib,RAF inhibitor,10,2.5426170674606072,0.07749332218229876,136,4.716475631942382,0.5390925907134356,Docetaxel,3.4689220963390586,0.7354903039985506,0.20952380952380953
CVCL_1285,Verteporfin,unclear,16,2.049383037171996,0.06593026614389186,117,3.5977756326883057,0.5696250256830689,Thymol,2.9405494661808667,0.8173243043462521,0.6476190476190476
CVCL_1285,Vilanterol,Adrenoceptor agonist,20,1.9270083566272327,0.06461712385938279,124,3.024336974078543,0.6371672115718371,Thymol,2.561577208729036,0.8469880276848115,0.8761904761904762
CVCL_1285,Vitamin K4,unclear,15,2.0682393215394153,0.058197232525524445,115,3.66767655806274,0.5639099546531048,PF-06260933,3.203477063812085,0.8734349970882261,0.6190476190476191
